replyID,relpy_text,hatespeech_or_not
Ugy0NTQ6P4bj214BTsR4AaABAg.9YsxTh6EldC9YwAJis1YCA,Again...with this dumb analogy.<br>(that i&#39;m sure you got from another dummy)<br>For the 99th time...<br>1. There is no appreciable THREAT  from this virus.<br>Nothing we cant handle with normal treatments.<br>2.The vaccine - as we a finding out - has WORSE effects  than getting covid!,1
Ugx6VHPMIPrt84Bs05Z4AaABAg.9YsqK0zbJi99Ytq2aEy-lx,Talk about a fool. Look at the prez BRANDON.  Kisdin Putin&#39;s ass.,1
Ugx6VHPMIPrt84Bs05Z4AaABAg.9YsqK0zbJi99YtqOYyHy30,Let me say. Do we need 4 more of Trump or any of his relatives running  again.  I say Hell No.,1
Ugx6VHPMIPrt84Bs05Z4AaABAg.9YsqK0zbJi99Yu_TDFMlOX,"The Trump hating morons still fixate on him whilst everything stated by the man, about a Biden run America, is unfolding before our eyes. Genius.",1
Ugx6VHPMIPrt84Bs05Z4AaABAg.9YsqK0zbJi99Yu_ZqXr5w3,"@steven D. No, Biden is the man and the Dems are the sheep to bring the world to its knees. We&#39;re well on the way after one year.",0
Ugx6VHPMIPrt84Bs05Z4AaABAg.9YsqK0zbJi99Yw8iEukFNi,Eric Trump is correct.,0
Ugx6VHPMIPrt84Bs05Z4AaABAg.9YsqK0zbJi99YwAW0t2IxV,"You are controlled by the left.  Please check this video.  Tulsi made a speech today at CPAC.  <br><a href=""https://www.youtube.com/watch?v=EOJB_IUB5ko"">https://www.youtube.com/watch?v=EOJB_IUB5ko</a>",1
Ugx6VHPMIPrt84Bs05Z4AaABAg.9YsqK0zbJi99Yyg9fv2vBd,Smh. You all need a hug,0
Ugx6VHPMIPrt84Bs05Z4AaABAg.9YsqK0zbJi99YygVZQix0r,@Normal As and either you are a Russian bot or a human who has been primed for hate from their psy-ops campaigns. Pick one,1
Ugx6VHPMIPrt84Bs05Z4AaABAg.9YsqK0zbJi99YygekAV8WY,@Christina McIntosh you are controlled by the Russians and Nazis; go figure,1
Ugx6VHPMIPrt84Bs05Z4AaABAg.9YsqK0zbJi99YyksOwoK8n,@OldManAPM Do you care to explain your statement?,0
Ugx6VHPMIPrt84Bs05Z4AaABAg.9YsqK0zbJi99YyxjXbkFky,@Christina McIntosh…no more than you feel you need to explain yours,0
Ugx6VHPMIPrt84Bs05Z4AaABAg.9YsqK0zbJi99Yz01XcImfY,"@Christina McIntosh but because, you know, me:<br><br>I’m actually a right-leaning centrist; registered Non-Partisan, not that it’s anyone’s business.<br><br>From what is obvious and undeniable: Your side chose hate by a cultivated Nazi and Russian asset, Donald Trump and it all started with cute little hate groups fed by Russia on the Internet, spreading misinformation into the masses. <br><br>Now, we are here with families split, Nations warring internally and among one another and both sides shoving their crap down all the throats of those like me who only want to make informed and genuinely accurate decisions. I’m not controlled by any man or woman, only God above. I go by what I know and see; common sense. <br><br>Nonetheless, it all goes back to Putin and your side should be unified against him in this just like the left is. This shouldn’t be a partisan issue, but Putin’s stooge is doing what he was programmed by a well-trained KGB analyst to do.<br><br>He dog whistles hate groups and calls oppressive dictators genius and your party still bows to his beck and call.<br><br>How can any of us in the middle trust that? The party of Lincoln now…this?<br><br>How can I, in the middle, along with the rest of us who still are, trust any of your rhetoric, which is only what all are offering in the end especially when attempting to engage the public like this; such as you are engaging me now. The left lies too (Afghanistan) , but not to the level of inaccuracy as you.<br><br>Also, please read these: Your boy Butt-F***er Carlson plays the masses ignorance to these like a fiddle to spew his crap: <a href=""https://writingcenter.unc.edu/tips-and-tools/fallacies/"">https://writingcenter.unc.edu/tips-and-tools/fallacies/</a><br><br>Oh…and these too: <a href=""https://www.visualcapitalist.com/50-cognitive-biases-in-the-modern-world/"">https://www.visualcapitalist.com/50-cognitive-biases-in-the-modern-world/</a><br><br>Your side spews ignorance when it used to never do this and I trust scholarly sources while your side is continuing to attempt to alter history (You literally made up the phrase critical race theory on your own to downplay HISTORY)<br><br>I mean, come on. Really? I’ve always been right-leaning…but I can’t go with the crap I’ve been seeing. Until the Republican Party clears up it’s act with facts, don’t expect the White House any time soon. <br><br>And I’m not the one under control; you’re playing to Putin’s tune perfectly and it’s fully being televised.",1
Ugx6VHPMIPrt84Bs05Z4AaABAg.9YsqK0zbJi99Z-ltFQby0G,I think that&#39;s been one of their biggest downfalls. They just keep shooting themselves in their collective feet over and over.....,0
Ugx6VHPMIPrt84Bs05Z4AaABAg.9YsqK0zbJi99Z09zOFwtS7,Who are you and what planet do you live on??,1
Ugx6VHPMIPrt84Bs05Z4AaABAg.9YsqK0zbJi99Z0H6F_svsY,"@Setay Mada Yeah, that&#39;s why he lost I guess. But hey, maybe we need Biden so people will learn how stupid their decisions are. So irresponsible to elect a president with dementia...",1
Ugx6VHPMIPrt84Bs05Z4AaABAg.9YsqK0zbJi99Z0Nijte32J,"@Anonymous You know he doesn&#39;t have dementia. Neither does trump. It&#39;s a pretty hollow insult. Biden rattles facts off better than most people, and has a good memory...give him a break, he&#39;s an older guy, turned 79 last November: Have you seen most 79 year olds? Most people don&#39;t even make it to 79, and if they do, they&#39;re in pretty bad shape....let alone in any condition to carry out a president&#39;s duties. Just the travelling alone a president has to do is crushing for most.  l  doubt you trumpers know what half of the insults you fling mean-do you even know what real dementia is? I doubt it. Like when anti-Biden types yell that &quot;Democrats are Marxists!&quot;....when I challenge the person saying it to define Marxism, I never hear from them again. Have a little class and just say you disagree with what Biden&#39;s doing and why, and leave it at that.",0
Ugx6VHPMIPrt84Bs05Z4AaABAg.9YsqK0zbJi99Z1iaZBSzjc,"@steven D. You know, you have to be at least 12 years old to post here on YouTube?",1
Ugx6VHPMIPrt84Bs05Z4AaABAg.9YsqK0zbJi99Z1j7EvKNQD,"@Normal As maybe you need to unstick your head from tucker and trumps backside and try thinking for yourself for a while.. but sometimes I forget ,if you could think for yourself, you wouldn&#39;t need trump to do your thinking for you, and what a horrible choice that was, &quot;genius&quot;",1
Ugx6VHPMIPrt84Bs05Z4AaABAg.9YsqK0zbJi99Z1k10wXIhJ,"@Anonymous dear trump university grad, you do realize that YOUR boy, the pouting orange pinhead, will be 79 years old in 2024? I know you cultists believe everything trump says is like it&#39;s from God😂😂😂 but &quot;God&quot;  is slipping now, imagine what another few years will do. BTW , President Biden has a speech defect, specifically stuttering. That&#39;s not the same thing as senility 😂😂😂😂",1
Ugx6VHPMIPrt84Bs05Z4AaABAg.9YsqK0zbJi99ZAPoig5Gl5,@David Matejka Lmao his stuttering doesn&#39;t affect the stupid sh** he says!!! How can you still believe this BS? Lmaoooo!!! His racist comments are a result of his stutter?,1
Ugx6VHPMIPrt84Bs05Z4AaABAg.9YsqK0zbJi99ZAPsXwjwJx,@David Matejka Don&#39;t get why you hate Trump. Did he say some mean things thag hurt your feelings?,0
Ugx6VHPMIPrt84Bs05Z4AaABAg.9YsqK0zbJi99ZCd_JQ9VGO,@David Matejka Is that link a result of a stutter? Give me a break.,1
UgwjMxpRMQjFJFvp14l4AaABAg.9YsdyUZOUKX9YwA1AlNTua,ha! correct.,0
UgxaQm6cDh9y5YkkwhB4AaABAg.9Ys5dWVjwO79Z0J6yQMwHr,Yet he&#39;s right. Anyone who believes Fauci is gullible,1
UgxaQm6cDh9y5YkkwhB4AaABAg.9Ys5dWVjwO79Z1O2tNcq3Y,@E Rust How so?,0
UgwWmq3hOtCETNcpha94AaABAg.9YrpGyWnCnk9YzNV_57Tjc,Since when did CNN hire Drs?,1
UgwWmq3hOtCETNcpha94AaABAg.9YrpGyWnCnk9Z2nEgW_0f8,@Kenny Oliver since they needed to convince us that the vaccines are &quot; 100% safe and effective&quot;.,0
UgzwbnZJGJCS0KxHePJ4AaABAg.9Yr7jZ-1Hb19Z0J00DqxwN,"Candace Owens is actually extremely smart. What makes you think she&#39;s dumb? Also, Eric is right so...",1
UgyK2SvZYZRWJuxgpWJ4AaABAg.9Yr3Rrq4NhA9Yr4kRdhyL9,Oh and it’s bc of the trumps that there are even ppl that don’t have basic common sense anymore. Here’s a thought how about they look up Thomas Paine? Or are they too lazy just like trump that they don’t want to read? 🙄🤣,1
Ugy-hFX_zoounTCJMrh4AaABAg.9YqgHK0Lwhi9Ysk6kXyVKg,I can&#39;t imagine not understanding that vaccine mandates are taking your freedom away.  Were there could be harm there must be choice.,0
Ugy-hFX_zoounTCJMrh4AaABAg.9YqgHK0Lwhi9YtFwgCyn3f,The fact is that there is a large segment of the US who believe the Trumps are akin to Christ Jesus and every word out of their mouths is inerrant and truth,1
Ugy-hFX_zoounTCJMrh4AaABAg.9YqgHK0Lwhi9YtG2rgPbrQ,@K U who sold you on that one?,0
Ugy-hFX_zoounTCJMrh4AaABAg.9YqgHK0Lwhi9Ytaz760UqQ,@Michael Brickley The fact is that there is a large segment of the US that are idiots.,1
Ugy-hFX_zoounTCJMrh4AaABAg.9YqgHK0Lwhi9YtbX9I6J_P,"Scary, isn&#39;t it?",0
Ugy-hFX_zoounTCJMrh4AaABAg.9YqgHK0Lwhi9Z-sO-W9bRm,He&#39;s right though. You probably didn&#39;t listen to him given you libs have a pathological hatred for Trump.,1
Ugy-hFX_zoounTCJMrh4AaABAg.9YqgHK0Lwhi9Z-sU58kCcA,@Michael Brickley Lmao who told you that lie? You libs just believe everything you hear huh?,1
Ugy-hFX_zoounTCJMrh4AaABAg.9YqgHK0Lwhi9Z0PXq66sa7,can you imagine being so stupid to listen to anything Hunter Biden has to say. I think that&#39;s what you meant to say,1
Ugy-hFX_zoounTCJMrh4AaABAg.9YqgHK0Lwhi9Z1PXswamrX,@Skip White Or just Biden. Not that you can understand anything he says anyways,1
Ugy-hFX_zoounTCJMrh4AaABAg.9YqgHK0Lwhi9ZPYilwWOtC,@Anonymous hate… no! Disgust? Absolutely! Trumps very visible criminal side n arrogance n stupidity n dishonesty to anyone paying attention is offensive. His ego is his Master. Anyone that can’t see him for the danger he represents is a fool!,1
Ugy-hFX_zoounTCJMrh4AaABAg.9YqgHK0Lwhi9ZPZzms170R,@Susan McVey You&#39;re the fool. What dangers does he represent? The fact that you actually believe that is so sad. He&#39;s definitely not as dangerous as a man with dementia running the country.,1
Ugzni14TD7h1pN7NNXp4AaABAg.9YqL1U270yE9YtlldW2jaY,@K U Eric Trump literally just said “the vaccines represent the stripping away of our freedoms”. Not the mandates. The vaccines.,0
Ugzni14TD7h1pN7NNXp4AaABAg.9YqL1U270yE9YtyFB-Ut9G,My father got the vaccines and was bed ridden for 4 days. Use your brain. Everyone is different. I have none and have never gotten sick. 3 years.,0
Ugzni14TD7h1pN7NNXp4AaABAg.9YqL1U270yE9Yu3gJ0WKv8,"@justme justme Yeah Linda sounds like a real Christian! Trump style. And she is full of It<br> I know many many people who were vaccinated and positive anyway and every one of them had no symptoms or very very mild ones.<br>Plus these people who say see if you get It anyway that means it doesn&#39;t work just don&#39;t understand about vaccines. The covid vaccine Is no exception. My son and a friend of his for example caught the mumps as kids even though they were vaccinated for it, but with very mild symptoms. It Is not an uncommon occurence.",1
Ugzni14TD7h1pN7NNXp4AaABAg.9YqL1U270yE9YuLzJiU5gY,"@justme justme You cannot always tell by words of a person&#39;s emotions on a subject by just reading it. <br>My words seem harsh because I am straight forward on what I talk about.  <br>I was not being rude or angry or upset with you. <br>Take my words how you will.   <br>That is your choice.  <br>That is how you get different opinions from different people on the same comment, text or what have you because of not hearing tone of voice with expression.   <br>Take care.",0
Ugzni14TD7h1pN7NNXp4AaABAg.9YqL1U270yE9YuN8enwuZ3,"@Chris LaFace I am not a doctor.  <br>However, just because you live in a house with someone doesn&#39;t mean the other will definable get what the other has.  Especially, if all of you started taking precautions to avoid transfer of the illness.   <br>Doctors see many patients who are infectious very often &amp; with precautions, they avoid many illnesses.  <br>Stinks they got covid even with the shots.",0
Ugzni14TD7h1pN7NNXp4AaABAg.9YqL1U270yE9YuNP-WsSed,"@Chris LaFace <br>By the way, the symptoms can be mild wether vaccinated or un-vaccinated.",0
Ugzni14TD7h1pN7NNXp4AaABAg.9YqL1U270yE9YuQK2Nrxsq,"@Ann C Belanger Hmmm.. <br>Related to scientists who have worked with studies whether close or loosely on anything to do with viruses or the shots thereof in this discussion? ..whether Related by blood or married in?  <br>Have stocks associated with the PANDEMIC?  <br>Just because you have been a nurse for eternity does not mean you are not capable of malpractice or greed.  <br><br>I saw a comment of yours &amp; your last name looked familiar.   <br><br>There is a name associated in that field of science that has your same last name.  <br><br>I also recognize other names who were around my late husband who are related to people with your last name.  <br>He died basically from an enlarged heart/congestive heart failure in 2017.  <br><br>If you are the same family line.. <br>small world, isn&#39;t it. <br><br>By the way, what better way to take over a country &amp; control a PANDEMIC if it was on purpose with being planned if you have known participants supporting the studies along with helping with the outcome.. not saying you are, however, it&#39;s curious you jumping on my comments the way you are.",0
Ugzni14TD7h1pN7NNXp4AaABAg.9YqL1U270yE9YxPhv1UYu_,@Linda Lauer   And some people die from peanut butter and/ or bee stings. What’s your point?,0
Ugzni14TD7h1pN7NNXp4AaABAg.9YqL1U270yE9YxVYNZ6KBy,"@Mary Elizabeth Some people like you, &#39;Elizabeth, escapes you because the point isn&#39;t what you are commenting to me for.  <br>You&#39;ve read my comments.  <br>If you don&#39;t understand, that&#39;s your denial of paying attention &amp;/or looking away.",1
Ugzni14TD7h1pN7NNXp4AaABAg.9YqL1U270yE9Z-lzUaaRsC,"I wish you both very long and happy lives together! Stay well, both of you! 😀😀😀😀😀😀😀😀",0
Ugzni14TD7h1pN7NNXp4AaABAg.9YqL1U270yE9Z-r3MWHhHr,@B L your out the window with your comments. To start with you are no more “American” then anyone else here. Don’t pride yourself for thinking your special because you like Trump. Trump has a mantra mostly lies. If you say it long and often enough people start to believe it. It doesn’t have to be true. Thats what Trump has done. Danced around the stage like a grifter stealing money from rich or poor. BLM is a unique organization. They are tired of being killed randomly and disrespected.  If the crowd January 6th had been all black they would have probably shot into the crowd but because it was white AH Trump let them run all over our democracy and threaten the legal election. All because he is a narcissistic bastard that can’t get over losing.   He is a danger to our democracy along with his cronies.,0
Ugzni14TD7h1pN7NNXp4AaABAg.9YqL1U270yE9Z-sDhYTCD4,@Linda Lauer But who is taking the bigger chance!  I am 75 with asthma not going because some people think they don’t have to vaccinate or wear a mask.,0
Ugzni14TD7h1pN7NNXp4AaABAg.9YqL1U270yE9Z0HDDgwCOD,Lmao that doesn&#39;t prove it works. Not enough variables.,0
Ugzni14TD7h1pN7NNXp4AaABAg.9YqL1U270yE9Z0HcKRIs_b,@Mauricio H Lmao you&#39;re delusional!!! How are we racist? How is he xenophobic? You literally just threw up all the sh** you hear on CNN lmaooo,1
Ugzni14TD7h1pN7NNXp4AaABAg.9YqL1U270yE9Z0Hm889dWY,"@Mauricio H lmao B L never said the conservative media wasn&#39;t biased. Yea they are, but they don&#39;t seem to flat out lie 24/7",1
Ugzni14TD7h1pN7NNXp4AaABAg.9YqL1U270yE9Z0HzJU0Mbi,@Mauricio H Every single racist thing you mentioned about Trump is a lie. He either didn&#39;t say those things or it was taken out of context. What about the ACTUALLY racist things Biden said? You live in NY? Makes sense. NYC? How&#39;s that crap hole?,1
Ugzni14TD7h1pN7NNXp4AaABAg.9YqL1U270yE9Z0ILPDuapt,"@K MerrillSchaecher LMAOOOOOOOOO!!!! You&#39;re delusional!! You completely proved your argument wrong. If black people are being killed &quot;randomly&quot; then that means it&#39;s not because of their skin color, right? So if there was a black crowd, Jan. 6th cops would shoot them? Lmao you can&#39;t actually be that stupid. There&#39;s no evidence behind any of that. Trump has done more in 4 years than Biden has in his whole career.",1
Ugzni14TD7h1pN7NNXp4AaABAg.9YqL1U270yE9Z0ITCB-mn8,"@K MerrillSchaecher Vaccines don&#39;t work and neither do masks. You can bring up all the studies you want, but think about it. You think masks just make covid disappear?",0
Ugzni14TD7h1pN7NNXp4AaABAg.9YqL1U270yE9Z0IVMGMk2A,"@K MerrillSchaecher Also, how is Trump a danger to democracy?",0
Ugzni14TD7h1pN7NNXp4AaABAg.9YqL1U270yE9Z0MPfmUwE_,"@K MerrillSchaecher Have you stopped to think about how each shot is for 1 specific coronavirus.  <br>There are many many coronavirus.  <br>There are many coronavirus people were dying from every single year even before the PANDEMIC.   <br>I am not against vaccines all together however, I don&#39;t just accept any medications just because they say it&#39;s safe either.  <br>Funds run out &amp; they get anxious to get things on the market to replenish.. &amp; that includes medications.  <br><br>Everything I&#39;ve researched, the timing of everything &amp; those drivers licenses already in the works ready to start etc tells me there was way more to those shots then just stopping us was being sick.  <br>Also, Every single person could have those shots &amp; still there would be break outs.  <br>We have already witnessed it. <br>Yes, even break out of the same virus given the vaccine for.  <br>They just said the people got less symptoms however, even without the shots, a person could have a variable response to any virus just like with an allergic reaction.   <br>The reactions are not the exact same each time because of our bodies at the time of exposure.",0
Ugzni14TD7h1pN7NNXp4AaABAg.9YqL1U270yE9Z0Ntca35lu,"@K MerrillSchaecher At this point since the lock downs weren&#39;t exactly done completely proper &amp; the time period of lock down was discontinued too soon, it is best to go shopping at less frequented times.  The individuals concerned can wear their masks when in public, wear gloves if necessary, use sanitizer, wash hands frequently &amp; distance.  <br><br>Unfortunately, that is the world we are living in right now.  <br><br>We will see what happens from here.",0
Ugzni14TD7h1pN7NNXp4AaABAg.9YqL1U270yE9Z0PZUKZD7j,"@Anonymous What I said about blacks killed randomly i meant without any proof of guilt. Historically.  It was an exaggeration about the January 6th crowd.  If i have to explain the facts of life to you it seems pointless.  <br>Delusional is that you defend the actions of a man who has proven over and over his bias, his need to be an autocrat, his foolish statements in public without any thought process. His need for adulation. Look the man continued to have rallies in the middle of a pandemic exposing others. His incitement of a riot because he can’t accept the will of the people that he lost the election. This was against what we call democracy. He is not a stable man, he may look like he has the world in his pocket but truth is he is a narcissist and is inside very empty of empathy.  Unreliable.  Why people like him is beyond me. Is it his money 💰 and prestige?  Is it he can get into the gutter with the best of them?  He is dangerous because he continues to repeat his lies about a stolen election which is helping divide the country. He says fake news. That only means the news he doesn’t like. He is child like in his actions and words. I for one do not want to have him heading our country or his cronies. So if thats lmo? then so be it.",1
Ugzni14TD7h1pN7NNXp4AaABAg.9YqL1U270yE9Z0ROlyu0F5,"@Linda Lauer I was in the medical field. I don’t see all things perfect but I remember polio and the subsequent vaccines and boosters. My mother and uncles had polio. Why do we think all the lives saved over the years were ok but not these from covid?  . In fact as regard to polio there is something called post polio syndrome. Where years later they suffered some symptoms. i.e. also like tuberculosis. We don’t know that those unvaccinated that got Covid may suffer later in years. They are looking into that.   Its simple for me, protect myself and others. Its a global disease. We can learn much from this to protect our future. We certainly should not politicize this.",0
Ugzni14TD7h1pN7NNXp4AaABAg.9YqL1U270yE9Z0TjXRXKel,"@K MerrillSchaecher If you research in history, a plague goes with every war. <br>They knew this was coming years ago. <br>They had even been studying how to spread viruses faster. <br>Along with that, these cites along with even doctors etc have falsified information pertaining to this virus as well as mostly only show what is going on with the unvaccinated verses showing what is truly painfully going on with many of the vaccinated.  <br>I&#39;ve already seen it in the works for side effects to be blamed on other ailments. <br><br>Oh, &amp; by the way, there were scientists in North Carolina ready to get a permit to study their cure/vaccine for SARS/MERS at exactly around the same time the PANDEMIC hit.  <br>Very big coincidence if you ask me.  <br><br>I do understand where you are coming from however, biochemical warfare isn&#39;t exactly meant to be obvious the enemy is taking people out. <br>Even people in power or otherwise find ways to take placebos if they feel the need or is part of a plan.  <br><br>Even the German&#39;s &amp; others did secret studies on people who did not know they were being studied.   <br>It&#39;s scary however, I can assure you, it definitely is still going on today &amp; is very sick.",0
Ugzni14TD7h1pN7NNXp4AaABAg.9YqL1U270yE9Z1nZucflpV,@Richard Grier if you can’t infer what he is talking about you must be going out of your mind trying to understand what Biden says at any given time!  Good luck.,1
Ugzni14TD7h1pN7NNXp4AaABAg.9YqL1U270yE9Z1p1IJYo_I,"@K U I’m well aware of what he’s saying. It’s a stupid, stupid point. I’m a former biology teacher. I understand the science very well. That you would be taken in by such simple-minded thinking says all I need to know about you and the orange god you worship.",1
Ugzni14TD7h1pN7NNXp4AaABAg.9YqL1U270yE9Z2h5JegtPA,@Mauricio H Well put. I&#39;ve been saying this too.,0
Ugzni14TD7h1pN7NNXp4AaABAg.9YqL1U270yE9Z2hMQ45w_M,"@Linda Lauer Jesus, you&#39;re vicious. Are you really that filled with hate?",1
Ugzni14TD7h1pN7NNXp4AaABAg.9YqL1U270yE9Z2hiHQ4Sme,"@justme justme Justme Justme, it&#39;s &quot;murmuring&quot;. &quot;Mummering&quot;,  also known as mumming or janneying, typically involves a group of friends or family who dress in disguise and visit homes within their community or neighboring communities during the twelve days of Christmas. I think I&#39;ll mummer this Christmas....or maybe just murmur about it.",1
Ugzni14TD7h1pN7NNXp4AaABAg.9YqL1U270yE9Z2huA-qNg9,"@Linda Lauer She meant &quot;murmuring&quot;. Hey, I hate trump too, but chill a bit.",1
Ugzni14TD7h1pN7NNXp4AaABAg.9YqL1U270yE9Z2itRfPdCZ,"​@B L They are racist because they support an obvious racist; in fact, thfey don&#39;t just support his racism, they applaud and admire it. Too many examples of trump&#39;s racism, from when he and his father excluded African Americans from renting--- &quot;NYT: ‘No Vacancies’ for Blacks: How Donald Trump Got His Start, and Was First Accused of Bias&quot;, to his latest expression of racism-- NPR: &quot;....in recent rallies and statements, Trump has escalated a message rooted in racism and lies; Trump alleged during a rally in Texas over the weekend that Black prosecutors investigating him are &#39;racist&#39;...&quot;    IF YOU APPLAUD AND ADMIRE A RACIST FOR HIS RACISM, THEN YOU ARE RACIST. Hope that explains it to you. If not, let me know, and I&#39;ll  put in it extremely basic language that even simpletons like you will be sure to understand.",1
Ugzni14TD7h1pN7NNXp4AaABAg.9YqL1U270yE9Z3D0-SLM0v,Vaccinated and STILL got Covid. And you still believe the lies of the left.....smh we have no hope with people this dumb.,1
Ugzni14TD7h1pN7NNXp4AaABAg.9YqL1U270yE9Z40-CeqTm3,@K MerrillSchaecher Lmao that&#39;s all a lie. CNN is fake news. What do you mean by &quot;the facts of life&quot;? You&#39;d rather have an idiot with dementia than a guy who can get things done becuase he says mean things? Lmao grow up.,1
Ugzni14TD7h1pN7NNXp4AaABAg.9YqL1U270yE9Z407J3etq9,@Setay Mada Lmao that&#39;s a lie. All taken out of context. Biden has ACTUALLY said racist things.,1
Ugzni14TD7h1pN7NNXp4AaABAg.9YqL1U270yE9Z5O7vXCU2U,"@K MerrillSchaecher How&#39;d you like Biden&#39;s SOTU speech? Absolutely embarassing. Now all of a sudden they want to fund the police and secure the border even though they ran on the exact opposite. Also, Biden apparently thinks the 2nd Ammendment is for hunting lmao.",1
Ugzni14TD7h1pN7NNXp4AaABAg.9YqL1U270yE9Z5Pr9kYc_U,@Anonymous How did you like Boebert and MTG acting like they matter. Immature hecklers <br>I was never for defunding the police.  Nor was Biden ever for it.,1
Ugzni14TD7h1pN7NNXp4AaABAg.9YqL1U270yE9Z7ZqtSLggG,@K MerrillSchaecher Hmmm yet he was because that&#39;s what Kamala and her party stood for so...,0
Ugzni14TD7h1pN7NNXp4AaABAg.9YqL1U270yE9Z8d_1cofsG,@Anonymous ???,0
Ugzni14TD7h1pN7NNXp4AaABAg.9YqL1U270yE9Z99F1SScLB,@K MerrillSchaecher Kamala called for defunding the police and said the BLM riots shouldn&#39;t stop.,0
Ugzni14TD7h1pN7NNXp4AaABAg.9YqL1U270yE9Z9EFq3kCIZ,"@Anonymous I listened to Kamala Harris speech. She said she supported reimagining the police to handle such things as mental health, homelessness etc so that some of the budget goes to those entities instead of police having to deal with them. <br>She supports peaceful protest not protesters who incur violence in the cities. Stating that black people are tired of being killed. BLM is not a violent group as they are being portrayed. She does not support those that loot and burn cities or violence <br>If you listen to her you hear what she is really saying.",0
Ugzni14TD7h1pN7NNXp4AaABAg.9YqL1U270yE9ZA9FGlkbmy,"@Jared Fisk Jared Baa Baa, you need to pay better attention to the facts and not allow yourself to be so easily conned by the radical right.   🐑🐑🐑🐑🐑🐑    .",1
Ugzni14TD7h1pN7NNXp4AaABAg.9YqL1U270yE9ZAKCkzP17I,"@K MerrillSchaecher Lmao her comments state otherwise. They aren&#39;t violent? That&#39;s a flat out lie! On their site, it used to say they wanted to destroy the western nuclear family AKA white people. Black people aren&#39;t being killed because of their skin color. That&#39;s a lie.",1
Ugzni14TD7h1pN7NNXp4AaABAg.9YqL1U270yE9ZALBm5a_oh,"@Anonymous Its not a lie but your welcome to believe what you want. I listened to her, did you? So you sound angry.  Even if it was true which it isn’t look at January 6th that was our democracy they attacked.",1
Ugzni14TD7h1pN7NNXp4AaABAg.9YqL1U270yE9ZAOW1MAO6z,"@K MerrillSchaecher Lmao they didn&#39;t attack our democracy, they &quot;attacked&quot; the capitol. Definitely wasn&#39;t worse than BLM. The democrats attacked our democracy. You know they&#39;ve found evidence of voter fraud in Georgia, Arizona, and Wisconsin is being asked to uncertify their results because of fraud. Also, which instance of Kamala did you listen to?",0
Ugzni14TD7h1pN7NNXp4AaABAg.9YqL1U270yE9ZdCL36os4w,@Linda Lauer Asymptomatic means you have an illness without symptoms — but you may still be contagious<br><br>You we&#39;re saying,0
