replyID,relpy_text,hatespeech_or_not
Ugx1dcRaaGqwYuo4O914AaABAg.9_9cpJtTLm79_9kUtJnRrf,김멜다 정수기 옷값 액세서리 값이면 용산이전비용 하고도 남아요,0
UgyL0RQCW1giXXbmJft4AaABAg.9_9bmDxBb3P9_9c8hx-wv8,뭐야,0
UgxfWlIVsIldxpe-wTl4AaABAg.9_9bUAOmA-69_9olB_swS2,멀쩡 한 청 와대 아니지<br>좀 지나면 알끼다~,0
UgzHEuejgzPVKTIB9gF4AaABAg.9_9Zy6zsnrk9_9etniqkii,누가 빚더미에 올려 놨나요 ?,0
UgzSyUD9nhJYr8u9MKB4AaABAg.9_9YBeWwHs09_9aAJ80THl,&#39;수니가 무식하군,1
UgzSyUD9nhJYr8u9MKB4AaABAg.9_9YBeWwHs09_9cLhpakL4,@장보고 도청장치했는데 청와대에 안들어오니까그렇겠죠,0
UgzSyUD9nhJYr8u9MKB4AaABAg.9_9YBeWwHs09_9l-9wpyE7,조단위라고 한건 더듬어공작당 얘기고 정수기 김멜다 옷값 액세서리 값이면 용산이전비용 가능요,1
UgySKoA6O9taZzKrbot4AaABAg.9_9XeGnbTnH9_9YME-Dvyu,👍👍👍,0
UgzD5_ri2Y7gI3fM6SF4AaABAg.9_9X8V3hC6g9_9sI5BzlrP,미친,1
UgwP2gaTbIWa_vGWs2t4AaABAg.9_9X2TsGcfH9_9dtKAB_aU,"간섭 안하는 것이 최선의 협조입니다.<br>취임한 다음 알아서 하시시시오.<br>정규재 주필 가라사되,  &quot; 방 빼 나가는 사람한테 <br>들어오는 사람의 집 마련해달라는 소리가 말이 됩니까?&quot;<br>방만 제 날짜에 비워주면 되는 겁니다.",0
UgwP2gaTbIWa_vGWs2t4AaABAg.9_9X2TsGcfH9_9kJUcL7MU,어떻게하나보고 더ㅡ옄어버릴구실 만들러간거죠!ㅡ문가가ㅡ당한거지ㅡ이바보야ㅡ!,1
Ugyz_Af9-khCAryXoMN4AaABAg.9_9WlS1MpTG9_9Zk1fyPtc,본인돈도 아니면서 개폼은 다부리고있다!,1
Ugx4FS0A2oAPUFSmcy14AaABAg.9_9WgvSJRhC9_9exG8XHbx,역시나 말장난하네요,0
Ugx4FS0A2oAPUFSmcy14AaABAg.9_9WgvSJRhC9_9gRMz0hHq,듣고 믿고 싶은 말을 들으세요. 오년동안 내로남불식 거짓말만 되풀이 한것이 아닌지를...국민은 그렇게 봅니다.,0
Ugx4FS0A2oAPUFSmcy14AaABAg.9_9WgvSJRhC9_AEM7L5Z4k,여적죄는 사형! 🤬,1
Ugx4FS0A2oAPUFSmcy14AaABAg.9_9WgvSJRhC9_AK7uCz_k5,항상 말과 행동이 달랐죠. 유체이탈은 그의 또 다른 장끼. 그냥 말과 얼굴표정과 생각이 따로 따로 논다는...,1
UgzO0ttw97taxAYbUl54AaABAg.9_9W_QGluT49_9YVyMWYQM,격하게 공감.,0
UgzM2lSypxWH8_3yvvR4AaABAg.9_9WUuuVkIL9_9k6t_syRY,일부러ㅡ가준거죠!ㅡ그래야ㅡ구실을 만들어서ㅡ얶으죠!ㅡ윤석열대통바보가ㅡ아닙니다ㅡ기다려봅시다ㅡ,0
Ugzn58Y5z_A0BpvT7aF4AaABAg.9_9W79mseBh9_9Xgx0M9jd,그건 안희정한테 한 얘기죠,0
Ugzn58Y5z_A0BpvT7aF4AaABAg.9_9W79mseBh9_9XhPmHy5V,정치하지마라<br>진정성 없이 거짓말만하고<br>이중인격으로 대통령하면  안된다는 뜻일듯,0
Ugzn58Y5z_A0BpvT7aF4AaABAg.9_9W79mseBh9_9oud9z_rK,@Ko haksoo 문재인 대통령한태도 했습니다.,0
Ugw5IDVKiGiNuloARTZ4AaABAg.9_9Vqf2m9tI9_9pG9dGzS-,여론이 쓴소리 하니까<br>척...한거죠!<br>민주당 월급주는것도 아까운데 <br>이제 연금까지 ..<br>아유 우리자녀들 허리 가느러 지겟네.,0
Ugzhs1j88m4KxlHYFBJ4AaABAg.9_9VmPaWpJQ9_9dMMGueSv,다음정권이 면밀이살펴주시요,0
UgzumwVPgWQN6LUG7Pl4AaABAg.9_9VlA9V-cg9_9XwqhYEsX,장희빈 묘소 뒤에 큰바위가 있데요 낮게 살아라는  풍수래요,0
UgwizJD0WgPDgxjVLHR4AaABAg.9_K1AsnIkSm9_RayZUIqOT,쟤들이 국민을 바보로알고<br>저런거죠?<br>이런것도 알 권리입니다~<br>청와대인사입니까~??<br>별꼴ᆢ,0
UgwU2KuSfUWM4mN5nTl4AaABAg.9_EjBkRAHsX9_NTbLqXaSZ,촛불혁명합시다,0
UgzhCFM46d1RD_wafwB4AaABAg.9_E3kl1UQSn9_RjzZlK4Id,K-이멜다,0
UgyvzZblz-qyljloi6t4AaABAg.9_CF01-aHHJ9_Mev9Ww7f8,민비,0
UgxhPziHRbdyr5Hdq0x4AaABAg.9_ADFolX3TP9_AMyH4lgJ6,법원에서 제출하라니까 할 수 없이 낸거죠ㅎ <br>깨끗하죠~ 뇌가^^,1
UgxhPziHRbdyr5Hdq0x4AaABAg.9_ADFolX3TP9_AbXayXf9x,너두 참!!,0
UgxhPziHRbdyr5Hdq0x4AaABAg.9_ADFolX3TP9_ClRTE0MOz,ㅋㅋㅋㅋㅋ이정도 이슈를 까서 깨끗하다니..ㅋㅋㅋㅋㅋ역시 대깨만이 가능한 지지다 ㅋㅋㅋㅋ,1
UgxhPziHRbdyr5Hdq0x4AaABAg.9_ADFolX3TP9_D58HSU6iL,대깨문 동생 하고 오빠 손절 했다~,1
UgxhPziHRbdyr5Hdq0x4AaABAg.9_ADFolX3TP9_D7sDRgypf,제정신이 아니구만,1
UgxhPziHRbdyr5Hdq0x4AaABAg.9_ADFolX3TP9_DUzbTNQAh,ㅋㅋㅋ 대깨답다,1
UgxhPziHRbdyr5Hdq0x4AaABAg.9_ADFolX3TP9_DfsUOqMTZ,@겨울손님 고마워유 ㅋㅋㅋ,0
UgxhPziHRbdyr5Hdq0x4AaABAg.9_ADFolX3TP9_FtstVyBrm,푼돈 해먹으면 큰 사기는 안칠거라는 무논리....,0
UgxhPziHRbdyr5Hdq0x4AaABAg.9_ADFolX3TP9_LbrTTjBqT,와 대박 ㅋㅋㅋㅋ 진짜 대깨들한텐 종교구나... 와..,1
Ugzfg1ajeqJV3L7MmE14AaABAg.9_A4Ie0M9VH9_A5ReVNOM5,"맞습니다,,혈세로,말입니다",0
Ugzfg1ajeqJV3L7MmE14AaABAg.9_A4Ie0M9VH9_ANVYIwAfN,ㆍ국민들 우리가 가만있으면 안되는거 아닙니까 엇떡게 쫌 합시다 분해죽겠네~ㅆㅍ,0
Ugzfg1ajeqJV3L7MmE14AaABAg.9_A4Ie0M9VH9_DN1YsBTj3,"퇴임 후 받는 돈도 어마어마해서 마음껏 관광지 놀러 다닐 수도 있는데....<br>하지만  퇴임 후에  가면,  시종시녀들을  뒤에 때깔나게 몰고 다니며 과시하는 우월감은 못느끼겠구나.   최고 귀빈 대우를    받으며 즐기는 여행이 황홀경이기는 할듯...",0
Ugzfg1ajeqJV3L7MmE14AaABAg.9_A4Ie0M9VH9_DU8L_HvDI,"네~~~외유일정에<br>한번움직이면,경호랑<br>의전에,최하50억,경비라고합니다<br>엄청나죠^^^^^^^",0
Ugzfg1ajeqJV3L7MmE14AaABAg.9_A4Ie0M9VH9_DgzP_RMm4,그러고도 윤대통령 당선인에게 고렇게 말할수있나요 ? 뭐라고요 ? 국가안보가 걱정되서라고 그게 이유라고 ? 무슨 개가 하품하는. 멍멍 &quot;,1
Ugzfg1ajeqJV3L7MmE14AaABAg.9_A4Ie0M9VH9_EoCmh5RoT,이때 아니면 언제 저런대접 받아보겠어요. 의전받으면서 때깔나게 행차하고싶어 순방핑게대며 해외로해외로 마눌데리고 호화여행 싸다닌거지요.,1
Ugzfg1ajeqJV3L7MmE14AaABAg.9_A4Ie0M9VH9_GR3gsiOzn,니돈이가내돈이가마구서라기희는한번뿐이야,0
Ugzfg1ajeqJV3L7MmE14AaABAg.9_A4Ie0M9VH9_K1UMaXWXj,"뭐그럼 대통령이 일도안하고, 집에 가만히 있으랴??<br>나는 외국에 살지만, 30년넘게 외국에서 살면서  문대통령때 처음으로 한국인이라는게 자랑스러웠네요 이사람들아!!",0
Ugzfg1ajeqJV3L7MmE14AaABAg.9_A4Ie0M9VH9_OM07whg_1,@yyy 선족이 검거,1
Ugxy3rFr-XwIItce1mR4AaABAg.9_A0sB1jZwG9_D83QO8YUR,도드체마누라관리를어덧게햇길레이날리고,1
UgzkCR9Dz9DTrGS8PpF4AaABAg.9_9uoHSsbiq9_RTLeK_wJh,뒤늦게 이상해진게 아니라 본심이 때에 맞게 튀어나온 것 같습니다.,0
Ugyhx0qbxBCcTrV_Urp4AaABAg.9_9uFvP9dcj9_B44dcsAXI,K 이멜다,0
Ugyhx0qbxBCcTrV_Urp4AaABAg.9_9uFvP9dcj9_BHljFgP54,그냥 저 여자라고 하면 됨.,0
Ugyhx0qbxBCcTrV_Urp4AaABAg.9_9uFvP9dcj9_Bqpdl9W0B,국밥집 아지매,1
Ugyhx0qbxBCcTrV_Urp4AaABAg.9_9uFvP9dcj9_DDsGHemh_,푼수,1
Ugyhx0qbxBCcTrV_Urp4AaABAg.9_9uFvP9dcj9_DKcrcY9tz,영부인이 영부인 다워야지   우리나라국민이  죽었는데 관광이라,0
Ugyhx0qbxBCcTrV_Urp4AaABAg.9_9uFvP9dcj9_F7CFYtecC,20대들은 탐켄치라고  부르고 있음...,0
Ugyhx0qbxBCcTrV_Urp4AaABAg.9_9uFvP9dcj9_LdzdtcV2v,주책바가지 아줌씨라고 부릅시다,1
UgyI8DX5i5H2b3vHqnB4AaABAg.9_9ky5WNZrS9_9l5tLn4jW,너 문다혜지?,0
UgyI8DX5i5H2b3vHqnB4AaABAg.9_9ky5WNZrS9_9pnIdX6YM,@Daniel <br>문다혜가 누구?,0
UgyCJQorbcKsRdYgUn94AaABAg.9_9kYXNw5ws9_9l8JLUnpJ,어디가 소설인데? ㅉㅉ,0
UgyCJQorbcKsRdYgUn94AaABAg.9_9kYXNw5ws9_A36LBOn4N,미저리,1
UgyoWvORgVbwb9W2TNh4AaABAg.9_9kLAmCgDh9_9l86wc7rg,외국신문은 읽을줄 아니??,1
UgyoWvORgVbwb9W2TNh4AaABAg.9_9kLAmCgDh9_9msDBa7Vk,와 대단하네요~ 근데 굳이 일반화 시키면서 강요할 필요 있나요?ㅋㅋ,0
UgyoWvORgVbwb9W2TNh4AaABAg.9_9kLAmCgDh9_9nCL4bqgt,@Eun Yoo 넌 알아 ??? 니 포트폴리오는 커녕 자기소개나 제대로 할수있음 ??????? ㅋㅋㅋㅋㅋㅋㅋ,1
UgyoWvORgVbwb9W2TNh4AaABAg.9_9kLAmCgDh9_9nii0mrYd,뉴스에 다 나왔던 내용입니다.,0
UgyoWvORgVbwb9W2TNh4AaABAg.9_9kLAmCgDh9_A-7w_FiRy,@jun su kim 강요는 안하는데<br>어지간해야 말을 안하지ᆢ 영부인이 돌머리 들쳐메고 호화롭게 놀러다니는 자리라고 생각하는게 너무 보이자누. 힐러리는 사치해도 일이라도 할 능력이있었지. 이건 세금 먹는 하마 ㅋ,1
UgyoWvORgVbwb9W2TNh4AaABAg.9_9kLAmCgDh9_A0twXwbe4,"@quartet 순방 요청한 나라에서 스케줄 짜준대로 움직이는건데 대체 어쩌라는거죡ㅋ 무슨  골프, 카지노를 다닌것도 아니고,,",0
UgyoWvORgVbwb9W2TNh4AaABAg.9_9kLAmCgDh9_A3fUqfbVB,그럼 앞으로 건희도 저가항공사 이용안하면 이렇게 논란 만들어도 된다는 말임??,0
UgyoWvORgVbwb9W2TNh4AaABAg.9_9kLAmCgDh9_AIJZqB0A5,미첬거나 돈이열라 많았겠지??~글코 갸는 총리고  우린대통령 이잔어~김정숙~,1
UgyoWvORgVbwb9W2TNh4AaABAg.9_9kLAmCgDh9_EDdCLUofx,중국가서 스케줄 짜준대로 혼밥냠냠,0
UgyoWvORgVbwb9W2TNh4AaABAg.9_9kLAmCgDh9_Ep4agDdZs,가면 뭐하나<br>지마누라 팔짱이나 끼고 둘이서서 외톨이신세,1
UgyoWvORgVbwb9W2TNh4AaABAg.9_9kLAmCgDh9_EwGRjBDPf,@jun su kim 왜 없어?,0
UgyoWvORgVbwb9W2TNh4AaABAg.9_9kLAmCgDh9_F6w29fgRz,원래 대한민국도 문재인.정부 이전까지는 임기중 영부인이 이렇게.드러난적이 없엇어요. 국민이 뽑은건 대통령이지. 대통령의 배우자가 아님. 왜 저 사람이 국민혈세로 해외순방등에 따라 다니나?  싶음,0
Ugze5saj72rVyON28XZ4AaABAg.9_9jvNRJrep9_IMYIwfh7N,멋지긴 개뿔,0
UgxzS0er5YHbg26bqkl4AaABAg.9_9joqvVmKF9_9nlEATmtT,셀프 훈장 끝까지  챙긴 다면 파렴치한거죠,0
UgxzS0er5YHbg26bqkl4AaABAg.9_9joqvVmKF9_A8XUpvAoq,훈장은  무언가 실적이 있을때 주는거 아닌가요,0
Ugw-HieixhD8AqLSNuJ4AaABAg.9_9j0h6Nk8Y9_9lt6GvvXg,빙고~! 아주 심플하면서도 정확한 표현이심<br>대한민국 역사상 가장 천박한 대통령 부인,1
Ugw-HieixhD8AqLSNuJ4AaABAg.9_9j0h6Nk8Y9_9wPoKXmu2,천박한 여편네,1
Ugw-HieixhD8AqLSNuJ4AaABAg.9_9j0h6Nk8Y9_Emmk3Idy7,부창부수겠지,1
UgxuxNSiTUgbLQD7y954AaABAg.9_9ii4ZuH0z9_9j9Ijykvv,맞는 말씀  급공감👍👍,0
Ugy_hqLepkeyJIa0pfx4AaABAg.9_9gbSOHTzf9_9t9oohkNe,아 뇨  감방  가야지. 추징금  백억.  아 니   천 억  이다,0
UgwG2HRLVNnByTzY_j14AaABAg.9_9gWk5qn2C9_9pOUFyK0V,그러게요.<br>양산시민들은 양산땅못밞게 대모시위라도 하셔야할판이네요.,1
UgwG2HRLVNnByTzY_j14AaABAg.9_9gWk5qn2C9_9sxFBJ_pr,지가 입고  건드린 옷 장신구 한번에  다  지고 운동장 열바퀴,1
UgzX3TBKa99x6NtRU7F4AaABAg.9_9ffDc0kPA9_BDeapiDnz,👏👏👏👏👏,0
UgzX3TBKa99x6NtRU7F4AaABAg.9_9ffDc0kPA9_Ez3n8s4ju,그렇습니다. 엄벌을 받아야합니다,0
UgzRr40f9-4Wb9jhvo14AaABAg.9_9fMFP7ANw9_EDpHZhNpn,KBS안보는데 주말에 동행은 가족들과 봐요~~<br>해피빈은 당사자에게 바로 전달된다고해서 기부도 가끔 합니다~^^,0
UgxISBQSKClH5wAgcrx4AaABAg.9_9eX4kJjou9_A9QwCoolu,5.18유공자 수도 알 수 없는 게 현실인데 결국 그들만의 리그가 되고 있고 이것이 기득권이 되어서 결국은 포기할 수 없게 되고 <br>이 때문에 좌우가 갈리고 여야가 갈리고 대한민국은 화합이 불가능함,0
UgyMdgXXijNC7Fe5gDN4AaABAg.9_9e2Ifk-CO9_9mNvbn2TF,뭐가어때서  티비조선이 최고여,0
UgxfKy6IIspPK0xNYoN4AaABAg.9_9duFTBwc59_9oyG_UM1y,오늘은 ㄱㅈㅅ 옷값 사비로 썼다카네요<br>그래서 공개할 필요 없다고.<br>ㅊㅇㄷ에서도 말바꾸기하는 줄 <br>몰랐어요,0
UgyAfhU69X64oCq31zt4AaABAg.9_9dTYQRglk9_9gw-q5zvT,전정권때  미쳐날 뛰던 사람들 조용 하네,0
Ugz8at8jb_gK6hJa5OB4AaABAg.9_9c5i0zJrM9_9gSfccjwL,정말 볼수록 내입만더럽게 하는분들 내로남불,0
Ugz8at8jb_gK6hJa5OB4AaABAg.9_9c5i0zJrM9_9hqf5XUHX,갈수록.알수록<br>김정숙했는짓 이해불가,0
Ugz8at8jb_gK6hJa5OB4AaABAg.9_9c5i0zJrM9_9jX7xLJe1,태국기 들고 청화대 들어가 해외여행 이나 다니고 둘째며누리 맞아바야 첫번째 며느리 맘 안다고 미친거~태극기 들고 밟고 청화대 들어갓으면 누그보다 모범을 보여주고 각성해야지 국민이 무서운거 1도 없네 ~화 나 네,1
Ugz8at8jb_gK6hJa5OB4AaABAg.9_9c5i0zJrM9_GPr6Tm_9y,영부인이 이상해요 대통령 한달월급을 고소란히 생활비로 지출하고 붕떠있는사람같아요,1
UgwZ4uDWNZyUYi9vy2Z4AaABAg.9_9bzAUIzeY9_9gIOLi_RU,선동이었음.,0
UgwZ4uDWNZyUYi9vy2Z4AaABAg.9_9bzAUIzeY9_9l0KcGKdU,@bobo 사기극이었음<br>진짜 지난 5년이 대한민국 역사상 최악의 적폐 5년이었음.,0
UgwZ4uDWNZyUYi9vy2Z4AaABAg.9_9bzAUIzeY9_9nWHqTFRc,선동질이었죠. 근데 거기에 속아 넘어간 국민들이 있다는게 더 끔찍,0
UgwZ4uDWNZyUYi9vy2Z4AaABAg.9_9bzAUIzeY9_9p70_AedN,프레임을 씌운 저들의 선동이었죠. 촛불부터 다시 수사해야 돼요.,0
UgwZ4uDWNZyUYi9vy2Z4AaABAg.9_9bzAUIzeY9_9r44ZwV8O,"지난5년간이 지옥, 선동 조작 촛불에  잃어버린 5년 이었네요 ㅠㅠ",0
UgwZ4uDWNZyUYi9vy2Z4AaABAg.9_9bzAUIzeY9_9u6om6HOZ,촛불선동.<br>그걸 지금도 하려고  ㅜㅜ,0
UgwsFmxcskNr1h0iQyp4AaABAg.9_9bwOzZEg79_9kTualyQ1,대단히 미쳐있는 거죠.<br>불우이웃 행사에 진주반지로 富까지 과시할 정도면.. 뇌도 없고 심장도 없는 것임,1
UgwsFmxcskNr1h0iQyp4AaABAg.9_9bwOzZEg79_A8ppN6_u6,@Rich 야 박통은  대통령이고 그리고 박통이 뭘 어쨋는데?,0
UgwsFmxcskNr1h0iQyp4AaABAg.9_9bwOzZEg79_BHxi7gMPt,저 여자는 편하게 살게 놔두면 안됨.<br>코로나로 국민들 죽어나가던 시기에 오만 사치를 누렸음. 절대 그냥 놔둬서는 안됨.<br>구속수사하고 재산 몰수해야함.,1
Ugz7O4uwQTVRnOOdzCl4AaABAg.9_9boogKPfX9_9q2VZ2l1E,드라마 엄청 좋아함...<br>영부인이면 영부인답게 책좀일고 공부도 좀하고 하다못해 국제정세에도 관심을 가지고 공부좀해야하는거 아닌가요?<br>남편내조를 하려면 봉사활동도ㅠ많이다니고..<br>코시국일수록 앞장서서 봉사다니며 국민들을 위로해야했던것 아닌가요?,1
UgxS3g0jAfuUSOw8EfN4AaABAg.9_9bdyYDa4q9_DCYH5Z4OR,"양산집으로,제대로<br>들어갈수,있을까?????",0
Ugwj-g0SpPratPkYzqt4AaABAg.9_9bcigxMbX9_9ftL-ye6z,훈장 못 받게 시위라도 해야 합니다.,0
Ugwj-g0SpPratPkYzqt4AaABAg.9_9bcigxMbX9_9oyNV-X0R,청와대 민주당 참으로 내로남불의 끝판왕일세!!,0
Ugwj-g0SpPratPkYzqt4AaABAg.9_9bcigxMbX9_AXM5XBtmW,@S 맞아요,0
UgylIsmDKlOgeLbp59B4AaABAg.9_9baycMfYn9_9px55jKHa,대성통곡도 했다네요,0
UgwlzocK4LZPu7Vz7zp4AaABAg.9_9b74qJe579_9qJQ3_ImI,👏👏👏👏,0
UgwlzocK4LZPu7Vz7zp4AaABAg.9_9b74qJe579_CNIpozSs3,윈래 이래~~~~,0
UgwlzocK4LZPu7Vz7zp4AaABAg.9_9b74qJe579_K3qMLT6Iq,그래서 좌파 대통령이 될 수 있었던거야.,0
UgxvHV9Gvdya9StpSYp4AaABAg.9_AHXCcgXYG9_E9TiBFTx6,ㅇㅈ,0
UgyHTKRag16IcKtKeHR4AaABAg.9_9hpTm7ZQD9_B__94Utea,권성동같은인간이없어야,0
UgyHTKRag16IcKtKeHR4AaABAg.9_9hpTm7ZQD9_Bf5h2TCfN,@Sean Woo 아니요<br>그런 사람이 있어야 더 망가지는거 빨리 볼수 있어요,0
UgzQ7quI-Klk2GN9bax4AaABAg.9_9hl1rvCLl9_DuqfBEDZx,아멘,0
UgyCXlKYBC762QL1-3d4AaABAg.9_9cH2u9IF_9_C72teUQm8,스파이인듯,0
Ugy6gAxTBZWkS5Gm1h94AaABAg.9_9ZKhyu6uc9_9bbPjJADR,배신자! 유승민! 김무성! 다음은 권성동!!,1
UgykPO4IGNUiX5sYw194AaABAg.9_9YXEHJugv9_9ZQVdbSuC,성상납아시고계시나요,0
UgykPO4IGNUiX5sYw194AaABAg.9_9YXEHJugv9_9ZuiJSWur,@borisonsa 성상납 그거 진짜 아니예요. 너무 믿지마세요,0
UgxHqhl4Czoy6tISpb54AaABAg.9_9WNQJFAzO9_9WdP9NFaH,못마땅하면 뉴스공장가봐 욜라까텐데 니입에 맞을듯,1
UgwTGP6El3MFLjvr_ph4AaABAg.9_9VPFpsa_w9_9YQ9VaZd-,이준석 자르면 안돼요 저는 20대인데  이준석 자르면 2030 많이 떠납니다.<br>미래를 보세요. 이번에 6070이 윤석열 많이 투표해줫지만 4050에서 많이 밀렷죠 5년 10년뒤 면 6070 어르신들이 많이 안계실거예요 그러면 민주당한테 밀려요 그래서 지금 2030 보수층이 많아져서 나중에 민주당 한테 많이 안밀릴거예요. 그래서 이준석 자르면 안돼요. 미래를 보세요,0
UgyZ0gtj_cBVxLUGFPd4AaABAg.9_9V1dcbiko9_9uWuGpQtx,미위하지마요,0
UgyZ0gtj_cBVxLUGFPd4AaABAg.9_9V1dcbiko9_ECCM-gsed,미워하지마  그래도열심히  윤대통려믈  보필하자나,0
UgwgCFGEfaGsm-pkQ3B4AaABAg.9_9UylebFje9_9WvZGE87l,지금껏 고생했는데 닌 태평성대 였는봐 나라에 불에 전연병에  물난리에 전부 힘들다하는데 닌 잘먹고 살았어? 그럼 통장잔고좀 보여줘봐,1
UgwgCFGEfaGsm-pkQ3B4AaABAg.9_9UylebFje9_9WxQQ09VH,원화아짐,0
UgwgCFGEfaGsm-pkQ3B4AaABAg.9_9UylebFje9_9X0UOSIIi,근디 ...점은 왜케 찍어 손떨리냐?,0
UgzLml8qyLSGXosBi5J4AaABAg.9_9Uih0ggNX9_9VgLgSVFj,바그네 탄핵소추는 검사가 시키는건거 아님 국회의원이 시키는거지  국회에서 시키고  법원으로 넘어가는거임 뭔 윤이 다한것처럼 말하네,0
UgzLml8qyLSGXosBi5J4AaABAg.9_9Uih0ggNX9_DwQRML7Fb,@language lip <br>윤석열 2인자인 권성동이<br>당시 법사위원장으로 탄핵을 주도했죠~^^,0
Ugye64eHmVw8TnY33T94AaABAg.9_9UdXh81h49_9clOcp_rQ,ㄹㅇ 나라 ㅈ댐 ㅋ,1
UgzVWNwRJmpL2GwmBVR4AaABAg.9_9UTUBkgoY9_9hn2bv46N,권성동 정상국가?ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ머리통에 뭐가 들었으면 그런 생각을 할수가있는거지,1
UgzVWNwRJmpL2GwmBVR4AaABAg.9_9UTUBkgoY9_9qnuL_bbG,역시 무지성지지자답다ㅋ 더말이 필요한가?? 하늘의개시니까머ㅋㅋ,1
UgzVWNwRJmpL2GwmBVR4AaABAg.9_9UTUBkgoY9_Dv-OeX3Ib,정신나간것들 많다많아.<br>딱봐도 바보형이고 먹방이나 찍는중인데<br>멀응원하징,1
Ugwjf-q4xhJfhebjuz14AaABAg.9_9T8vj5eV29_9WDVdlZUC,욕해라... 수전증환자야...덜덜덜..알콜중독인가,1
UgyFBTbDHwPB9OnjG8Z4AaABAg.9_9SsMmzWGO9_E93Fab2kB,그건 아니다ㅡ,0
